Vulnerable,Git Commit Hash,Kind,Name,File,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClassMethod,CountDeclClassVariable,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountDeclMethod,CountDeclMethodAll,CountDeclMethodConst,CountDeclMethodFriend,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
Yes,616387439004e99860e2e7c7e99cd626eea105ca,Struct,IsWhitespace,caps/nsScriptSecurityManager.cpp,0,1,0,0,3,0,1,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,3,0,3,2,1,0,0,0,2,1,0,1,1,1,1,1,0,0,0,0,1,1,1,1
Yes,616387439004e99860e2e7c7e99cd626eea105ca,Struct,IsWhitespaceOrComma,caps/nsScriptSecurityManager.cpp,0,1,0,0,3,0,1,1,2,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,3,0,3,2,1,0,0,0,2,1,0,1,1,1,2,1,0,0,0,0,1,1,2,1
Yes,616387439004e99860e2e7c7e99cd626eea105ca,Class,nsAutoInPrincipalDomainOriginSetter,caps/nsScriptSecurityManager.cpp,0,3,0,0,10,0,1,1,1,1,3,0,3,0,0,0,0,0,1,2,0,0,0,0,2,2,0,0,0,0,2,10,0,10,4,2,0,0,0,5,3,0,2,1,1,1,1,0,0,0,0,2,2,2,2
No,769625853b0d63c7c0c37666fa1426ec95bb8db9,Abstract Class,Action,updater/updater.cpp,0,1,0,6,14,7,1,1,1,1,1,0,1,0,0,0,4,0,0,6,2,1,0,1,6,6,0,6,0,0,6,27,6,14,10,4,7,0,0,9,9,0,0,1,1,1,1,0,0,83,0,2,2,2,2
No,769625853b0d63c7c0c37666fa1426ec95bb8db9,Class,ActionList,updater/updater.cpp,2,13,0,14,92,3,2,2,2,1,15,2,13,0,0,1,0,0,0,6,3,3,0,0,6,6,0,0,0,0,6,109,14,92,32,52,3,0,0,57,22,0,35,4,4,4,4,0,2,33,0,16,16,16,11
No,769625853b0d63c7c0c37666fa1426ec95bb8db9,Class,AddFile,updater/updater.cpp,1,11,0,9,67,4,2,2,2,1,13,1,9,0,1,1,2,0,0,5,2,2,0,0,5,11,0,0,0,0,5,80,8,57,19,24,4,8,3,31,8,0,23,5,5,5,4,1,2,19,0,11,11,12,8
No,769625853b0d63c7c0c37666fa1426ec95bb8db9,Class,AddIfFile,updater/updater.cpp,1,7,0,8,45,3,2,2,2,1,8,1,7,0,1,0,0,0,0,5,1,0,1,0,5,16,0,0,0,0,5,56,8,45,16,17,3,0,0,23,7,0,16,3,3,3,3,2,1,0,0,10,10,10,7
No,769625853b0d63c7c0c37666fa1426ec95bb8db9,Class,AddIfNotFile,updater/updater.cpp,1,7,0,8,45,3,2,2,2,1,8,1,7,0,1,0,0,0,0,5,1,0,1,0,5,16,0,0,0,0,5,56,8,45,16,17,3,0,0,23,7,0,16,3,3,3,3,2,1,0,0,10,10,10,7
No,769625853b0d63c7c0c37666fa1426ec95bb8db9,Class,AutoFile,updater/updater.cpp,0,3,0,5,25,0,1,1,1,1,3,0,3,0,0,0,0,0,0,5,1,1,0,0,5,5,0,0,0,0,5,30,5,25,8,9,0,0,0,14,6,0,8,2,2,2,1,0,1,0,0,7,7,7,5
No,769625853b0d63c7c0c37666fa1426ec95bb8db9,Struct,MARChannelStringTable,updater/updater.cpp,0,4,0,1,7,0,1,1,1,1,4,0,4,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,1,8,1,7,3,1,0,0,0,3,2,0,1,1,1,1,1,0,0,0,0,1,1,1,1
No,769625853b0d63c7c0c37666fa1426ec95bb8db9,Class,PatchFile,updater/updater.cpp,5,26,3,41,204,24,3,3,3,3,35,4,18,1,1,4,1,0,1,7,6,6,0,0,7,13,0,0,1,0,6,268,37,146,41,91,12,61,13,102,29,0,73,8,8,8,8,1,2,59,0,26,26,26,23
No,769625853b0d63c7c0c37666fa1426ec95bb8db9,Class,PatchIfFile,updater/updater.cpp,1,7,0,8,45,4,2,2,2,1,8,1,7,0,1,0,0,0,0,5,1,1,0,0,5,18,0,0,0,0,5,56,8,45,16,17,4,0,0,23,7,0,16,3,3,3,3,2,1,0,0,10,10,10,7
No,769625853b0d63c7c0c37666fa1426ec95bb8db9,Class,RemoveDir,updater/updater.cpp,2,13,1,16,79,8,3,3,3,2,17,2,13,1,1,1,0,0,0,5,2,2,0,0,5,11,0,0,0,0,5,102,16,79,20,42,8,0,0,48,11,0,37,5,5,6,5,1,2,9,0,16,16,17,11
No,769625853b0d63c7c0c37666fa1426ec95bb8db9,Class,RemoveFile,updater/updater.cpp,2,14,1,16,82,6,3,3,3,2,18,2,14,1,1,1,0,0,0,5,2,2,0,0,5,11,0,0,0,0,5,104,16,82,20,46,6,0,0,52,11,0,41,6,6,6,5,1,1,9,0,15,15,15,12
No,769625853b0d63c7c0c37666fa1426ec95bb8db9,Struct Template,copy_recursive_skiplist,updater/updater.cpp,0,5,0,2,14,0,2,2,2,2,5,0,5,0,0,0,0,0,0,2,1,0,0,1,2,2,0,0,0,0,2,16,2,14,5,5,0,0,0,10,4,0,6,3,3,3,3,0,2,0,0,4,4,4,4
Yes,a096e3264f27bdb9a591971a188e9ee718ddca93,Abstract Class,Action,updater/updater.cpp,0,1,0,6,14,7,1,1,1,1,1,0,1,0,0,0,4,0,0,6,2,1,0,1,6,6,0,6,0,0,6,27,6,14,10,4,7,0,0,9,9,0,0,1,1,1,1,0,0,83,0,2,2,2,2
Yes,a096e3264f27bdb9a591971a188e9ee718ddca93,Class,ActionList,updater/updater.cpp,2,13,0,14,92,3,2,2,2,1,15,2,13,0,0,1,0,0,0,6,3,3,0,0,6,6,0,0,0,0,6,109,14,92,32,52,3,0,0,57,22,0,35,4,4,4,4,0,2,33,0,16,16,16,11
Yes,a096e3264f27bdb9a591971a188e9ee718ddca93,Class,AddFile,updater/updater.cpp,1,11,0,9,67,4,2,2,2,1,13,1,9,0,1,1,2,0,0,5,2,2,0,0,5,11,0,0,0,0,5,80,8,57,19,24,4,8,3,31,8,0,23,5,5,5,4,1,2,19,0,11,11,12,8
Yes,a096e3264f27bdb9a591971a188e9ee718ddca93,Class,AddIfFile,updater/updater.cpp,1,7,0,8,45,3,2,2,2,1,8,1,7,0,1,0,0,0,0,5,1,0,1,0,5,16,0,0,0,0,5,56,8,45,16,17,3,0,0,23,7,0,16,3,3,3,3,2,1,0,0,10,10,10,7
Yes,a096e3264f27bdb9a591971a188e9ee718ddca93,Class,AddIfNotFile,updater/updater.cpp,1,7,0,8,45,3,2,2,2,1,8,1,7,0,1,0,0,0,0,5,1,0,1,0,5,16,0,0,0,0,5,56,8,45,16,17,3,0,0,23,7,0,16,3,3,3,3,2,1,0,0,10,10,10,7
Yes,a096e3264f27bdb9a591971a188e9ee718ddca93,Class,AutoFile,updater/updater.cpp,0,3,0,5,25,0,1,1,1,1,3,0,3,0,0,0,0,0,0,5,1,1,0,0,5,5,0,0,0,0,5,30,5,25,8,9,0,0,0,14,6,0,8,2,2,2,1,0,1,0,0,7,7,7,5
Yes,a096e3264f27bdb9a591971a188e9ee718ddca93,Struct,MARChannelStringTable,updater/updater.cpp,0,4,0,1,7,0,1,1,1,1,4,0,4,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,1,8,1,7,3,1,0,0,0,3,2,0,1,1,1,1,1,0,0,0,0,1,1,1,1
Yes,a096e3264f27bdb9a591971a188e9ee718ddca93,Class,PatchFile,updater/updater.cpp,5,26,3,41,204,24,3,3,3,3,35,4,18,1,1,4,1,0,1,7,6,6,0,0,7,13,0,0,1,0,6,268,37,146,41,91,12,61,13,102,29,0,73,8,8,8,8,1,2,59,0,26,26,26,23
Yes,a096e3264f27bdb9a591971a188e9ee718ddca93,Class,PatchIfFile,updater/updater.cpp,1,7,0,8,45,4,2,2,2,1,8,1,7,0,1,0,0,0,0,5,1,1,0,0,5,18,0,0,0,0,5,56,8,45,16,17,4,0,0,23,7,0,16,3,3,3,3,2,1,0,0,10,10,10,7
Yes,a096e3264f27bdb9a591971a188e9ee718ddca93,Class,RemoveDir,updater/updater.cpp,2,13,1,16,79,8,3,3,3,2,17,2,13,1,1,1,0,0,0,5,2,2,0,0,5,11,0,0,0,0,5,102,16,79,20,42,8,0,0,48,11,0,37,5,5,6,5,1,2,9,0,16,16,17,11
Yes,a096e3264f27bdb9a591971a188e9ee718ddca93,Class,RemoveFile,updater/updater.cpp,2,14,1,16,82,6,3,3,3,2,18,2,14,1,1,1,0,0,0,5,2,2,0,0,5,11,0,0,0,0,5,104,16,82,20,46,6,0,0,52,11,0,41,6,6,6,5,1,1,9,0,15,15,15,12
Yes,a096e3264f27bdb9a591971a188e9ee718ddca93,Struct Template,copy_recursive_skiplist,updater/updater.cpp,0,5,0,2,14,0,2,2,2,2,5,0,5,0,0,0,0,0,0,2,1,0,0,1,2,2,0,0,0,0,2,16,2,14,5,5,0,0,0,10,4,0,6,3,3,3,3,0,2,0,0,4,4,4,4
No,90aa942f6fbdcbf1a65abc51c379a9bcbb10be94,Struct,AccessKeyInfo,events/EventStateManager.cpp,0,6,0,1,12,0,1,1,1,1,6,0,6,0,0,0,0,0,0,1,3,0,0,3,1,1,0,0,0,0,1,13,1,12,9,0,0,0,0,4,4,0,0,1,1,1,1,0,0,0,0,1,1,1,1
No,90aa942f6fbdcbf1a65abc51c379a9bcbb10be94,Class,ESMEventCB,events/EventStateManager.cpp,0,6,0,2,17,0,2,2,2,1,6,0,6,0,1,2,0,0,0,2,1,0,0,1,2,2,0,0,0,0,2,19,2,17,5,6,0,0,0,7,4,0,3,3,3,3,1,1,2,0,0,4,4,4,2
No,90aa942f6fbdcbf1a65abc51c379a9bcbb10be94,Class,EnterLeaveDispatcher,events/EventStateManager.cpp,0,21,1,2,51,2,6,6,8,1,22,0,21,1,0,6,0,0,0,2,5,0,0,5,2,2,0,0,0,0,2,55,2,51,21,23,2,0,0,27,12,0,15,8,8,12,1,0,3,0,0,12,12,17,2
No,90aa942f6fbdcbf1a65abc51c379a9bcbb10be94,Class,ExitFullscreenScriptRunnable,base/nsDocument.cpp,0,7,2,2,20,5,1,1,1,1,9,0,7,2,1,1,0,0,0,2,1,1,0,0,2,2,0,0,0,0,2,26,2,20,7,8,5,0,0,8,4,0,4,2,2,2,1,1,1,0,0,3,3,3,2
No,90aa942f6fbdcbf1a65abc51c379a9bcbb10be94,Abstract Class,PendingFullscreenRequestList,base/nsDocument.cpp,0,4,0,8,71,10,1,1,1,1,4,0,4,0,0,4,0,2,0,1,1,0,0,1,3,3,0,0,0,0,3,89,8,71,25,26,10,0,0,36,16,0,20,1,1,1,1,0,0,33,0,2,2,2,2
No,90aa942f6fbdcbf1a65abc51c379a9bcbb10be94,Public Class,PendingFullscreenRequestList::Iterator,base/nsDocument.cpp,0,7,0,3,51,4,2,2,2,1,8,0,7,0,0,4,0,0,0,6,2,2,0,0,6,6,2,0,2,0,4,58,3,51,15,23,4,0,0,28,10,0,18,5,5,6,4,0,3,41,0,12,12,14,9
No,90aa942f6fbdcbf1a65abc51c379a9bcbb10be94,Struct,PositionComparator,base/nsDocument.cpp,0,5,0,1,15,0,2,2,2,2,5,0,5,0,0,1,0,0,0,2,1,0,0,1,2,2,1,0,0,0,2,16,1,15,5,6,0,0,0,9,4,0,5,3,3,3,3,0,1,0,0,4,4,4,4
No,90aa942f6fbdcbf1a65abc51c379a9bcbb10be94,Struct,SubDocEnumArgs,base/nsDocument.cpp,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,5,0,5,3,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No,90aa942f6fbdcbf1a65abc51c379a9bcbb10be94,Class,SubDocMapEntry,base/nsDocument.cpp,0,0,0,0,6,2,0,0,0,0,0,0,0,0,1,2,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,7,0,6,3,0,2,0,0,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0
No,90aa942f6fbdcbf1a65abc51c379a9bcbb10be94,Struct,SuppressArgs,base/nsDocument.cpp,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,5,0,5,3,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No,90aa942f6fbdcbf1a65abc51c379a9bcbb10be94,Struct,UnsuppressArgs,base/nsDocument.cpp,0,4,0,1,9,0,1,1,1,1,4,0,4,0,0,1,0,0,0,1,3,0,0,2,1,1,0,0,0,0,1,10,1,9,6,0,0,0,0,3,3,0,0,1,1,1,1,0,0,66,0,1,1,1,1
No,90aa942f6fbdcbf1a65abc51c379a9bcbb10be94,Class,final,base/nsDocument.cpp,0,4,0,3,12,2,1,1,1,1,4,0,4,0,1,1,0,0,0,3,1,0,1,0,3,3,0,0,0,0,3,16,3,12,5,1,2,0,0,5,4,0,1,1,1,1,1,1,0,66,0,1,1,1,1
No,90aa942f6fbdcbf1a65abc51c379a9bcbb10be94,Class,final,base/nsDocument.cpp,0,3,0,0,10,0,1,1,1,1,3,0,3,0,1,0,0,0,0,2,1,0,0,1,2,2,0,0,1,0,1,10,0,10,6,1,0,0,0,4,3,0,1,1,1,1,1,1,0,100,0,2,2,2,2
No,90aa942f6fbdcbf1a65abc51c379a9bcbb10be94,Class,mozilla::FullscreenRoots,base/nsDocument.cpp,0,9,0,9,87,19,2,2,2,1,9,0,9,0,0,2,0,6,1,2,1,1,0,0,8,8,0,0,4,0,4,115,9,87,33,33,19,0,0,48,18,0,30,4,4,5,4,0,2,43,0,18,18,20,11
No,90aa942f6fbdcbf1a65abc51c379a9bcbb10be94,Public Struct,mozilla::dom::nsIDocument::FrameRequest,base/nsDocument.cpp,0,3,0,3,19,4,1,1,1,1,3,0,3,0,0,1,0,0,0,4,2,0,0,2,4,4,3,0,0,0,4,26,3,19,11,3,4,0,0,9,6,0,3,1,1,1,1,0,0,37,0,4,4,4,4
No,90aa942f6fbdcbf1a65abc51c379a9bcbb10be94,Class,mozilla::final,events/EventStateManager.cpp,0,1,0,0,10,0,1,1,1,1,1,0,1,0,1,0,0,0,0,2,2,0,0,2,2,2,0,0,0,0,2,10,0,10,7,0,0,0,0,4,4,0,0,1,1,1,1,1,0,100,0,2,2,2,2
No,90aa942f6fbdcbf1a65abc51c379a9bcbb10be94,Class,nsCallExitFullscreen,base/nsDocument.cpp,0,5,0,2,17,0,1,1,1,1,5,0,5,0,1,2,0,0,0,2,1,1,0,0,2,2,0,0,0,0,2,19,2,17,5,5,0,0,0,7,3,0,4,2,2,2,1,1,1,0,0,3,3,3,2
No,90aa942f6fbdcbf1a65abc51c379a9bcbb10be94,Class,nsCallRequestFullScreen,base/nsDocument.cpp,0,3,0,2,12,0,1,1,1,1,3,0,3,0,1,1,0,0,0,2,1,0,0,1,2,2,0,0,0,0,2,14,2,12,5,2,0,0,0,5,3,0,2,1,1,1,1,1,0,0,0,2,2,2,2
No,90aa942f6fbdcbf1a65abc51c379a9bcbb10be94,Class,nsDelayedEventDispatcher,base/nsDocument.cpp,0,3,0,2,16,0,1,1,1,1,3,0,3,0,1,0,0,0,0,3,1,1,0,0,3,3,0,0,0,0,3,18,2,16,5,3,0,0,0,7,4,0,3,1,1,1,1,1,0,33,0,3,3,3,3
No,90aa942f6fbdcbf1a65abc51c379a9bcbb10be94,Class,nsPointerLockPermissionRequest,base/nsDocument.cpp,1,13,0,17,143,8,2,2,3,1,15,1,13,0,2,6,0,0,0,10,4,0,1,3,10,10,0,0,0,1,9,168,17,143,42,80,8,0,0,82,22,0,60,5,5,10,5,1,2,62,0,24,24,34,18
No,90aa942f6fbdcbf1a65abc51c379a9bcbb10be94,Struct,nsRadioGroupStruct,base/nsDocument.cpp,0,4,0,1,11,3,1,1,1,1,4,0,4,0,0,0,0,0,0,1,4,0,0,4,1,1,0,0,0,0,1,15,1,11,9,0,3,0,0,5,5,0,0,1,1,1,1,0,0,50,0,1,1,1,1
No,90aa942f6fbdcbf1a65abc51c379a9bcbb10be94,Class,nsUnblockOnloadEvent,base/nsDocument.cpp,0,2,0,0,10,0,1,1,1,1,2,0,2,0,1,1,0,0,0,2,1,1,0,0,2,2,0,0,0,0,2,10,0,10,4,2,0,0,0,5,3,0,2,1,1,1,1,1,0,0,0,2,2,2,2
Yes,53f6a7d204eea3f05c6382ac9b4b31496236081a,Struct,AccessKeyInfo,events/EventStateManager.cpp,0,6,0,1,12,0,1,1,1,1,6,0,6,0,0,0,0,0,0,1,3,0,0,3,1,1,0,0,0,0,1,13,1,12,9,0,0,0,0,4,4,0,0,1,1,1,1,0,0,0,0,1,1,1,1
Yes,53f6a7d204eea3f05c6382ac9b4b31496236081a,Class,ESMEventCB,events/EventStateManager.cpp,0,6,0,2,17,0,2,2,2,1,6,0,6,0,1,2,0,0,0,2,1,0,0,1,2,2,0,0,0,0,2,19,2,17,5,6,0,0,0,7,4,0,3,3,3,3,1,1,2,0,0,4,4,4,2
Yes,53f6a7d204eea3f05c6382ac9b4b31496236081a,Class,EnterLeaveDispatcher,events/EventStateManager.cpp,0,21,1,2,51,2,6,6,8,1,22,0,21,1,0,6,0,0,0,2,5,0,0,5,2,2,0,0,0,0,2,55,2,51,21,23,2,0,0,27,12,0,15,8,8,12,1,0,3,0,0,12,12,17,2
Yes,53f6a7d204eea3f05c6382ac9b4b31496236081a,Class,ExitFullscreenScriptRunnable,base/nsDocument.cpp,0,7,2,2,20,5,1,1,1,1,9,0,7,2,1,1,0,0,0,2,1,1,0,0,2,2,0,0,0,0,2,26,2,20,7,8,5,0,0,8,4,0,4,2,2,2,1,1,1,0,0,3,3,3,2
Yes,53f6a7d204eea3f05c6382ac9b4b31496236081a,Abstract Class,PendingFullscreenRequestList,base/nsDocument.cpp,0,4,0,8,71,10,1,1,1,1,4,0,4,0,0,4,0,2,0,1,1,0,0,1,3,3,0,0,0,0,3,89,8,71,25,26,10,0,0,36,16,0,20,1,1,1,1,0,0,33,0,2,2,2,2
Yes,53f6a7d204eea3f05c6382ac9b4b31496236081a,Public Class,PendingFullscreenRequestList::Iterator,base/nsDocument.cpp,0,7,0,3,51,4,2,2,2,1,8,0,7,0,0,4,0,0,0,6,2,2,0,0,6,6,2,0,2,0,4,58,3,51,15,23,4,0,0,28,10,0,18,5,5,6,4,0,3,41,0,12,12,14,9
Yes,53f6a7d204eea3f05c6382ac9b4b31496236081a,Struct,PositionComparator,base/nsDocument.cpp,0,5,0,1,15,0,2,2,2,2,5,0,5,0,0,1,0,0,0,2,1,0,0,1,2,2,1,0,0,0,2,16,1,15,5,6,0,0,0,9,4,0,5,3,3,3,3,0,1,0,0,4,4,4,4
Yes,53f6a7d204eea3f05c6382ac9b4b31496236081a,Struct,SubDocEnumArgs,base/nsDocument.cpp,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,5,0,5,3,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,53f6a7d204eea3f05c6382ac9b4b31496236081a,Class,SubDocMapEntry,base/nsDocument.cpp,0,0,0,0,6,2,0,0,0,0,0,0,0,0,1,2,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,7,0,6,3,0,2,0,0,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Yes,53f6a7d204eea3f05c6382ac9b4b31496236081a,Struct,SuppressArgs,base/nsDocument.cpp,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,5,0,5,3,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,53f6a7d204eea3f05c6382ac9b4b31496236081a,Struct,UnsuppressArgs,base/nsDocument.cpp,0,4,0,1,9,0,1,1,1,1,4,0,4,0,0,1,0,0,0,1,3,0,0,2,1,1,0,0,0,0,1,10,1,9,6,0,0,0,0,3,3,0,0,1,1,1,1,0,0,66,0,1,1,1,1
Yes,53f6a7d204eea3f05c6382ac9b4b31496236081a,Class,final,base/nsDocument.cpp,0,4,0,3,12,2,1,1,1,1,4,0,4,0,1,1,0,0,0,3,1,0,1,0,3,3,0,0,0,0,3,16,3,12,5,1,2,0,0,5,4,0,1,1,1,1,1,1,0,66,0,1,1,1,1
Yes,53f6a7d204eea3f05c6382ac9b4b31496236081a,Class,final,base/nsDocument.cpp,0,3,0,0,10,0,1,1,1,1,3,0,3,0,1,0,0,0,0,2,1,0,0,1,2,2,0,0,1,0,1,10,0,10,6,1,0,0,0,4,3,0,1,1,1,1,1,1,0,100,0,2,2,2,2
Yes,53f6a7d204eea3f05c6382ac9b4b31496236081a,Class,mozilla::FullscreenRoots,base/nsDocument.cpp,0,9,0,9,87,19,2,2,2,1,9,0,9,0,0,2,0,6,1,2,1,1,0,0,8,8,0,0,4,0,4,115,9,87,33,33,19,0,0,48,18,0,30,4,4,5,4,0,2,43,0,18,18,20,11
